344|1264|The Wheels of Chance: A Bicycling Idyll
42506|1267|Kai Lung's Golden Hours
43516|1269|The soul of a bishop
38910|1279|Poems and Songs of Robert Burns
33301|1282|Tom Swift Among the Diamond Makers; Or, The Secret of Phantom Mountain
37341|1283|Tom Swift and His Wizard Camera; Or, Thrilling Adventures While Taking Moving Pictures
36872|1284|Tom Swift and His Air Scout; Or, Uncle Sam's Mastery of the Sky
33586|1285|The Water Goats, and Other Troubles
47905|1292|The Way of the World
42605|1293|Sesame and Lilies
4881|1298|The Virginian: A Horseman of the Plains
21791|1302|The Enemies of Books
18403|1311|If: A Play in Four Acts
19055|1316|Some Reminiscences
50221|1322|Leaves of Grass
50975|1325|Twenty Years at Hull House; with Autobiographical Notes
17733|1327|Elizabeth and Her German Garden
26031|1332|Peter Pan in Kensington Gardens
20314|1333|Robert F. Murray (Author of the Scarlet Gown): His Poems; with a Memoir
20028|1334|Paul Kelver
53721|1347|A New Philosophy : Henri Bergson
57607|1348|A Master's Degree
51962|1349|Russia
28315|1350|The Country Doctor
58763|1352|An Old Maid
26962|1361|Tom Swift and His Giant Cannon; Or, The Longest Shots on Record
27624|1366|The Cloister and the Hearth
29089|1368|When the World Shook Being an Account of the Great Adventure of Bastin, Bickley and Arbuthnot
22493|1369|Paz (La Fausse Maitresse)
10089|1375|New Chronicles of Rebecca
57965|1377|The Talisman
10186|1381|Poems — Volume 1
52428|1382|Poems — Volume 2
57689|1383|Poems — Volume 3
58635|1384|The Ayrshire Legatees; Or, The Pringle Family
51667|1385|Lin McLean
23468|1393|Amours De Voyage
43792|1400|Great Expectations
46718|1401|Tarzan the Untamed
48281|1408|The Natural History of Selborne
41663|1409|The Soul of the Far East
38057|1417|Sons of the Soil
33081|1420|London's Underworld
32751|1429|The Garden Party, and Other Stories
48117|1430|Beautiful Stories from Shakespeare
42441|1431|Trooper Peter Halket of Mashonaland
1204|1435|Miscellaneous Papers
42060|1436|A Voyage to Abyssinia
48697|1437|Juana
42763|1438|No Name
47210|1439|Dreams
34514|1444|The Voice of the City: Further Stories of the Four Million
31650|1445|Aeroplanes
45548|1452|Native Life in South Africa Before and Since the European War and the Boer Rebellion
39820|1453|The Alkahest
39348|1454|Maitre Cornelius
45828|1455|The Hated Son
3957|1461|A Legend of Montrose
41251|1462|Some Roundabout Papers
44828|1464|Contributions to All The Year Round
7509|1467|Some Christmas Stories
8965|1469|Poems
36269|1472|In a German Pension
30215|1474|The Illustrious Gaudissart
35696|1481|A Daughter of Eve
