book_id,gutenberg_id,title,pattern
47261,591,"Flame and Shadow",section1
5535,595,"The Sisters' Tragedy, with Other Poems, Lyrical and Dramatic",end_marker
46430,596,"Rivers to the Sea",section1
43537,597,"The Story of Burnt Njal: The Great Icelandic Tribune, Jurist, and Counsellor",section1
48205,598,"Heimskringla; Or, The Chronicle of the Kings of Norway",section1
42555,599,"Vanity Fair",section1
20849,602,"Pharsalia; Dramatic Episodes of the Civil Wars",section1
25052,603,"Letters of George Borrow to the British and Foreign Bible Society",section1
24470,604,"Gulliver of Mars",section1
21315,605,Pellucidar,section1
62322,606,"Indian Why Stories: Sparks from War Eagle's Lodge-Fire",end_marker
66731,607,"Die Augsburger Confession",end_marker
19231,611,"Prester John",section1
55418,612,"The Constitution of Japan, 1946",end_marker
50010,613,"The Constitution of the Empire of Japan, 1889",section1
49367,614,"Across the Plains, with Other Memories and Essays",section1
18837,616,"Prayers Written At Vailima, and A Lowden Sabbath Morn",section1
18171,620,"Sylvie and Bruno",section1
51121,622,"The Letters of Robert Louis Stevenson — Volume 1",section1
54273,623,"The Battle of the Books, and other Short Pieces",section1
50657,625,"Ponkapog Papers",section1
19567,633,"The Golden Mean or Ratio[(1+sqrt(5))/2] To 20,000 places",section1
20197,634,"Miscellaneous Mathematical Constants",section1
67119,638,"An Outcast of the Islands",end_marker
62718,639,"The God-Idea of the Ancients; Or, Sex in Religion",end_marker
53235,640,"The Yellow Fairy Book",section1
52701,647,"The Dynamiter",section1
51699,649,"Ancient Poems, Ballads, and Songs of the Peasantry of England",section1
29171,650,"Pictures from Italy",section1
22283,651,"Phantasmagoria and Other Poems",section1
28466,657,"The Anglo-Saxon Chronicle",section1
23817,658,"The Fall of Troy",section1
27003,659,"Paul the Peddler; Or, The Fortunes of a Young Street Merchant",section1
63925,662,"The Gutenberg Webster's Unabridged Dictionary: Section D and E",file_named
52158,671,"Phil, the Fiddler",section1
16550,673,"The Gutenberg Webster's Unabridged Dictionary",file_named
10405,675,"American Notes",section1
51517,682,"Catalan's Constant [Ramanujan's Formula]",section1
51978,685,"The Atomic Bombings of Hiroshima and Nagasaki",section1
64505,691,"The Complete Works of James Whitcomb Riley — Volume 1",file_named
27195,692,"The Complete Works of James Whitcomb Riley — Volume 10",section1
24237,693,"The Autobiography of a Quack, and The Case of George Dedlow",section1
23597,694,"Stories from Everybody's Magazine",section1
27959,695,"Glaucus; Or, The Wonders of the Shore",section1
9532,700,"The Old Curiosity Shop",section1
2988,701,"The King of the Golden River",end_marker
40189,702,"Somebody's Little Girl",section1
45622,703,Lucasta,section1
39553,705,"The Roadmender",section1
9133,707,"Raffles: Further Adventures of the Amateur Cracksman",section1
7411,709,"The Princess and Curdie",end_marker
34865,712,"Thomas Jefferson, a Character Sketch",section1
30660,713,"Memoirs of Extraordinary Popular Delusions — Volume 2",section1
31118,714,"The Bobbsey Twins in the Country",section1
34291,715,"The Moon Endureth: Tales and Fancies",section1
76473,716,"The Cruise of the Jasper B.",end_marker
72054,717,"Chita: A Memory of Last Island",end_marker
29356,722,"James Otis, the Pre-Revolutionist",section1
36184,723,"Henry James, Jr.",section1
35426,724,"The Man of Letters as a Man of Business",section1
29989,725,"Men of Invention and Industry",section1
77546,727,"The Star-Spangled Banner",end_marker
8449,731,"History of the Decline and Fall of the Roman Empire — Volume 1",section1
44481,732,"History of the Decline and Fall of the Roman Empire — Volume 2",section1
41316,733,"History of the Decline and Fall of the Roman Empire — Volume 3",section1
40850,734,"History of the Decline and Fall of the Roman Empire — Volume 4",section1
45070,735,"History of the Decline and Fall of the Roman Empire — Volume 5",section1
7764,736,"History of the Decline and Fall of the Roman Empire — Volume 6",section1
8738,738,"The Puzzle of Dickens's Last Plot",section1
32086,740,"Remarks of Mr. Calhoun of South Carolina on the bill to prevent the interference of certain federal officers in elections: delivered in the Senate of the United States February 22, 1839",section1
39008,741,"Thomas Hart Benton's Remarks to the Senate on the Expunging Resolution",section1
74994,742,"Editorials from the Hearst Newspapers",file_named
38302,746,"Burning Daylight",section1
32912,747,"Anomalies and Curiosities of Medicine",section1
36830,748,"The Brother of Daphne",section1
33615,749,"Barlaam and Ioasaph",section1
46628,750,"The High History of the Holy Graal",section1
43430,751,"The Autocrat of the Breakfast-Table",section1
1332,752,"A Young Girl's Diary",end_marker
4909,754,"The Story of Mankind",end_marker
42902,756,"Arizona Sketches",section1
47033,757,"Fifty ""Bab"" Ballads: Much Sound and Little Sense",section1
48798,759,"James Pethel",section1
42365,760,"Enoch Soames: A Memory of the Eighteen-Nineties",section1
47727,761,"A. V. Laider",section1
208,763,"The Round-Up: A Romance of Arizona; Novelized from Edmund Day's Melodrama",end_marker
48438,766,"David Copperfield",section1
41537,767,"Agnes Grey",section1
47435,768,"Wuthering Heights",section1
37604,770,"The Story of the Treasure Seekers Being the Adventures of the Bastable Children in Search of a Fortune",section1
33455,771,"Biographical Notes on the Pseudonymous Bells",section1
33982,776,"Hermione and Her Little Group of Serious Thinkers",section1
37198,777,"The mastery of the air",section1
37910,779,"The Tragical History of Doctor Faustus From the Quarto of 1604",section1
34044,782,"The Travels of Sir John Mandeville",section1
37017,783,"The Lost City",section1
37786,784,"Boyhood in Norway: Stories of Boy-Life in the Land of the Midnight Sun",section1
33394,785,"On the Nature of Things",section1
48380,792,"Wieland; Or, The Transformation: An American Tale",section1
41717,793,"Aeroplanes and Dirigibles of War",section1
42184,794,"The Wouldbegoods: Being the Further Adventures of the Treasure Seekers",section1
47787,795,"Ballads and Lyrics of Old France, with Other Poems",section1
6874,796,"La Chartreuse De Parme",section1
28198,802,"Vittoria Accoramboni",section1
22812,803,"La Duchesse De Palliano",section1
21967,804,"A Sentimental Journey Through France and Italy",section1
28860,805,"This Side of Paradise",section1
52995,812,"Catalan's Constant to 1,500,000 Places",section1
57112,813,"Reminiscences of Tolstoy, by His Son",end_marker
53555,815,"Democracy in America — Volume 1",section1
16462,819,"The History of the Telephone",end_marker
51644,823,"The Life of St. Declan of Ardmore",section1
52499,824,"Speeches: Literary and Social",section1
16786,826,"Latin Vulgate, Esther: Liber Esther",end_marker
23873,832,"Robin Hood",section1
27078,833,"The Theory of the Leisure Class",section1
27458,834,"The Memoirs of Sherlock Holmes",section1
23309,835,"The Grey Brethren, and Other Fragments in Prose and Verse",section1
49005,841,"Men, Women and Ghosts",section1
18569,843,"The Life of Francis Marion",section1
18941,844,"The Importance of Being Earnest: A Trivial Comedy for Serious People",section1
49751,846,"The Life of General Francis Marion",section1
55037,847,"Lays of Ancient Rome",end_marker
21531,850,"Tom Grogan",section1
24822,851,"Narrative of the Captivity and Restoration of Mrs. Mary Rowlandson",section1
25289,856,Dreams,section1
21258,857,Evergreens,section1
26292,858,Stage-Land,section1
19497,859,"Polly of the Circus",section1
25817,860,"Baby Mine",section1
20568,861,"The Dominion of the Air: The Story of Aerial Navigation",section1
19814,866,"The Cost of Kindness",section1
26761,867,"Mrs. Korner Sins Her Mercies",section1
20818,868,"The Philosopher's Joke",section1
24996,869,"The Soul of Nicholas Snyders; Or, The Miser of Zandam",section1
50439,870,"The Love of Ulrich Nebendahl",section1
13437,874,"A History of Aeronautics",end_marker
17848,875,"The Duchess of Padua",section1
54038,876,"Life in the Iron-Mills; Or, The Korl Woman",section1
50720,877,"Little Britain",section1
55474,878,"Yankee Gypsies",end_marker
50041,879,"The Boy Captives: An Incident of the Indian War of 1695",section1
13716,880,"My Garden Acquaintance",end_marker
17757,881,"Lemorne Versus Huell",section1
53942,882,"Sketches by Boz, Illustrative of Every-Day Life and Every-Day People",section1
51001,883,"Our Mutual Friend",section1
50153,884,"Memoirs of Extraordinary Popular Delusions — Volume 3",section1
18719,888,"The Lazy Tour of Two Idle Apprentices",section1
66616,899,"Wonderful Balloon Ascents; Or, The Conquest of the Skies A History of Balloons and Balloon Voyages",end_marker
43181,903,"The White Company",section1
43753,904,"Her Father's Daughter",section1
46959,905,"Within the Law: From the Play of Bayard Veiller",section1
32627,912,"Mudfog and Other Sketches",section1
37998,913,"A Hero of Our Time",section1
38669,914,"The Uncommercial Traveller",section1
31769,915,"Library Work with Children",section1
73733,919,"Ethics — Part 1",end_marker
69714,920,"Ethics — Part 2",end_marker
36902,922,"Sunday Under Three Heads",section1
